sample_id,algo,strategy,cost
2,greedy_no_rotation,random,8460.9579
2,greedy_no_rotation,volume_desc,8463.1703
2,greedy_no_rotation,volume_asc,8434.813499999998
2,greedy_no_rotation,largest_edge_desc,8463.1703
2,greedy_no_rotation,largest_face_desc,8463.1703
2,greedy_no_rotation,sim_anneal_100_desc,8429.5045
2,greedy_no_rotation,sim_anneal_10_desc,8434.813499999998
2,greedy_no_rotation,sim_anneal_100_rand,8429.5045
2,greedy_no_rotation,sim_anneal_10_rand,8460.9579
2,greedy_larges_face_up,random,5365.6112
2,greedy_larges_face_up,volume_desc,4203.1636
2,greedy_larges_face_up,volume_asc,5356.1605
2,greedy_larges_face_up,largest_edge_desc,4203.1636
2,greedy_larges_face_up,largest_face_desc,4184.395100000001
2,greedy_larges_face_up,sim_anneal_100_desc,4184.395100000001
2,greedy_larges_face_up,sim_anneal_10_desc,4184.395100000001
2,greedy_larges_face_up,sim_anneal_100_rand,4184.395100000001
2,greedy_larges_face_up,sim_anneal_10_rand,4198.2744999999995
2,greedy_min_sum_slack,random,4177.635200000001
2,greedy_min_sum_slack,volume_desc,4177.02
2,greedy_min_sum_slack,volume_asc,4198.8351
2,greedy_min_sum_slack,largest_edge_desc,4177.02
2,greedy_min_sum_slack,largest_face_desc,4180.1036
2,greedy_min_sum_slack,sim_anneal_100_desc,4170.446
2,greedy_min_sum_slack,sim_anneal_10_desc,4175.8999
2,greedy_min_sum_slack,sim_anneal_100_rand,4170.2956
2,greedy_min_sum_slack,sim_anneal_10_rand,4177.02
2,greedy_first_fit,random,4177.635200000001
2,greedy_first_fit,volume_desc,4177.02
2,greedy_first_fit,volume_asc,4181.0167
2,greedy_first_fit,largest_edge_desc,4177.02
2,greedy_first_fit,largest_face_desc,4180.1036
2,greedy_first_fit,sim_anneal_100_desc,4171.5624
2,greedy_first_fit,sim_anneal_10_desc,4171.5624
2,greedy_first_fit,sim_anneal_100_rand,4170.7791
2,greedy_first_fit,sim_anneal_10_rand,4171.5624
2,shelf,random,4177.635200000001
2,shelf,volume_desc,4172.5004
2,shelf,volume_asc,4198.7203
2,shelf,largest_edge_desc,4172.5004
2,shelf,largest_face_desc,4198.2408000000005
2,shelf,sim_anneal_100_desc,4168.1748
2,shelf,sim_anneal_10_desc,4170.446
2,shelf,sim_anneal_100_rand,4168.1748
2,shelf,sim_anneal_10_rand,4177.635200000001
2,extreme_points,random,4195.6395
2,extreme_points,volume_desc,4249.3449
2,extreme_points,volume_asc,4184.6444
2,extreme_points,largest_edge_desc,4249.3449
2,extreme_points,largest_face_desc,4249.3449
2,extreme_points,sim_anneal_100_desc,4168.2878
2,extreme_points,sim_anneal_10_desc,4177.02
2,extreme_points,sim_anneal_100_rand,4167.1144
2,extreme_points,sim_anneal_10_rand,4168.8323
3,greedy_no_rotation,random,17358.1
3,greedy_no_rotation,volume_desc,8770.0
3,greedy_no_rotation,volume_asc,17199.3125
3,greedy_no_rotation,largest_edge_desc,8770.0
3,greedy_no_rotation,largest_face_desc,8770.0
3,greedy_no_rotation,sim_anneal_100_desc,8770.0
3,greedy_no_rotation,sim_anneal_10_desc,8770.0
3,greedy_no_rotation,sim_anneal_100_rand,8770.0
3,greedy_no_rotation,sim_anneal_10_rand,8770.0
3,greedy_larges_face_up,random,25476.5747
3,greedy_larges_face_up,volume_desc,8770.0
3,greedy_larges_face_up,volume_asc,33996.1652
3,greedy_larges_face_up,largest_edge_desc,8770.0
3,greedy_larges_face_up,largest_face_desc,8770.0
3,greedy_larges_face_up,sim_anneal_100_desc,8770.0
3,greedy_larges_face_up,sim_anneal_10_desc,8770.0
3,greedy_larges_face_up,sim_anneal_100_rand,8770.0
3,greedy_larges_face_up,sim_anneal_10_rand,25470.948800000002
3,greedy_min_sum_slack,random,25477.716500000002
3,greedy_min_sum_slack,volume_desc,8770.0
3,greedy_min_sum_slack,volume_asc,33953.3086
3,greedy_min_sum_slack,largest_edge_desc,8770.0
3,greedy_min_sum_slack,largest_face_desc,8770.0
3,greedy_min_sum_slack,sim_anneal_100_desc,8770.0
3,greedy_min_sum_slack,sim_anneal_10_desc,8770.0
3,greedy_min_sum_slack,sim_anneal_100_rand,17077.0617
3,greedy_min_sum_slack,sim_anneal_10_rand,8770.0
3,greedy_first_fit,random,25479.432500000003
3,greedy_first_fit,volume_desc,8770.0
3,greedy_first_fit,volume_asc,33930.3704
3,greedy_first_fit,largest_edge_desc,8770.0
3,greedy_first_fit,largest_face_desc,8770.0
3,greedy_first_fit,sim_anneal_100_desc,8770.0
3,greedy_first_fit,sim_anneal_10_desc,8770.0
3,greedy_first_fit,sim_anneal_100_rand,17077.2269
3,greedy_first_fit,sim_anneal_10_rand,25418.6633
3,shelf,random,25474.1774
3,shelf,volume_desc,8770.0
3,shelf,volume_asc,33964.1927
3,shelf,largest_edge_desc,8770.0
3,shelf,largest_face_desc,8770.0
3,shelf,sim_anneal_100_desc,8770.0
3,shelf,sim_anneal_10_desc,8770.0
3,shelf,sim_anneal_100_rand,8770.0
3,shelf,sim_anneal_10_rand,17112.7376
3,extreme_points,random,25473.2598
3,extreme_points,volume_desc,8770.0
3,extreme_points,volume_asc,33924.8735
3,extreme_points,largest_edge_desc,8770.0
3,extreme_points,largest_face_desc,8770.0
3,extreme_points,sim_anneal_100_desc,8770.0
3,extreme_points,sim_anneal_10_desc,8770.0
3,extreme_points,sim_anneal_100_rand,17084.451
3,extreme_points,sim_anneal_10_rand,17133.9416
4,greedy_no_rotation,random,5330.3733
4,greedy_no_rotation,volume_desc,5311.5407
4,greedy_no_rotation,volume_asc,5338.8894
4,greedy_no_rotation,largest_edge_desc,5318.6911
4,greedy_no_rotation,largest_face_desc,5318.6911
4,greedy_no_rotation,sim_anneal_100_desc,5304.344
4,greedy_no_rotation,sim_anneal_10_desc,5318.6911
4,greedy_no_rotation,sim_anneal_100_rand,5303.368200000001
4,greedy_no_rotation,sim_anneal_10_rand,5318.6911
4,greedy_larges_face_up,random,8453.1522
4,greedy_larges_face_up,volume_desc,4200.8486
4,greedy_larges_face_up,volume_asc,8441.6826
4,greedy_larges_face_up,largest_edge_desc,4195.8513
4,greedy_larges_face_up,largest_face_desc,4194.9467
4,greedy_larges_face_up,sim_anneal_100_desc,4165.9643
4,greedy_larges_face_up,sim_anneal_10_desc,4172.9376
4,greedy_larges_face_up,sim_anneal_100_rand,4165.9643
4,greedy_larges_face_up,sim_anneal_10_rand,4172.4207
4,greedy_min_sum_slack,random,4189.9186
4,greedy_min_sum_slack,volume_desc,4166.0121
4,greedy_min_sum_slack,volume_asc,5321.4737
4,greedy_min_sum_slack,largest_edge_desc,4170.4876
4,greedy_min_sum_slack,largest_face_desc,4172.5804
4,greedy_min_sum_slack,sim_anneal_100_desc,4166.0121
4,greedy_min_sum_slack,sim_anneal_10_desc,4171.8836
4,greedy_min_sum_slack,sim_anneal_100_rand,4166.0121
4,greedy_min_sum_slack,sim_anneal_10_rand,4189.9186
4,greedy_first_fit,random,5336.6087
4,greedy_first_fit,volume_desc,4172.0916
4,greedy_first_fit,volume_asc,5314.836
