strategy,extreme_points,greedy_first_fit,greedy_larges_face_up,greedy_min_sum_slack,greedy_no_rotation,shelf
largest_edge_desc,11,12,12,12,26,12
largest_face_desc,9,12,10,10,23,10
random,1,2,1,1,5,1
sim_anneal_100_desc,34,32,34,34,39,28
sim_anneal_100_rand,20,22,24,24,27,32
sim_anneal_10_desc,12,17,13,17,25,12
sim_anneal_10_rand,3,3,2,2,9,4
volume_asc,0,1,0,0,0,0
volume_desc,12,12,12,11,20,12
